state_country,activities,budget,destinationType,duration
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Skiing""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Bavaria, Germany","[""Hiking"", ""Historical Tours"", ""Beer Tours"", ""Castle Tours"", ""Beach""]",High,"[""Adventure"", ""Nature""]",8-10 days
"New York, USA","[""Food Tours"", ""Museums"", ""Theater""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting""]",High,"[""Urban"", ""Modern""]",4-6 days
"British Columbia, Canada","[""Skiing"", ""Kayaking""]",Low,"[""Nature"", ""Photography""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Queensland, Australia","[""Hiking"", ""Beach"", ""Wildlife Tours""]",High,"[""Cultural"", ""Food""]",4-6 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography"", ""Skiing"", ""Hiking""]",Low,"[""Urban"", ""Modern""]",4-6 days
"Queensland, Australia","[""Hiking"", ""Snorkeling"", ""Wildlife Tours"", ""Beach"", ""Wildlife Safari""]",Low,"[""Beach"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Hiking"", ""Snorkeling"", ""Wildlife Tours"", ""Beach"", ""Food Tours""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"California, USA","[""Beach"", ""Wine Tasting"", ""Theme Parks""]",Medium,"[""Urban"", ""Shopping""]",2-3 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours"", ""Photography""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"Bangkok, Thailand","[""Food Tours"", ""Cultural Shows""]",High,"[""Nature"", ""Photography""]",2-3 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography""]",Medium,"[""Adventure"", ""Beach""]",8-10 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Skiing""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Beach"", ""Surfing"", ""Cultural Tours"", ""Mountain Biking""]",Medium,"[""Historical"", ""Educational""]",2-3 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Food Tours""]",Low,"[""Historical"", ""Educational""]",4-6 days
"Colorado, USA","[""Hiking"", ""Mountain Biking""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari""]",Low,"[""Adventure"", ""Sports""]",4-6 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Museums""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"Paris, France","[""Shopping"", ""Food Tours"", ""Historical Tours"", ""Museums""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"Bavaria, Germany","[""Hiking"", ""Castle Tours"", ""Historical Tours"", ""Beer Tours"", ""Rock Climbing""]",Low,"[""Urban"", ""Modern""]",4-6 days
"New York, USA","[""Shopping"", ""Museums"", ""Theater""]",Medium,"[""Beach"", ""Relaxation""]",2-3 days
"California, USA","[""Beach"", ""Theme Parks"", ""Wine Tasting"", ""Surfing""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"Bali, Indonesia","[""Surfing"", ""Cultural Tours""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Queensland, Australia","[""Hiking"", ""Snorkeling"", ""Beach"", ""Wildlife Tours"", ""Water Parks""]",Low,"[""Urban"", ""Modern""]",8-10 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking"", ""Mountain Tours""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Mountain Tours""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"California, USA","[""Wine Tasting"", ""Theme Parks""]",Low,"[""Historical"", ""Educational""]",6-8 days
"Paris, France","[""Historical Tours"", ""Food Tours""]",Medium,"[""Urban"", ""Shopping""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Food Tours"", ""Shopping"", ""Cultural Shows"", ""Spa & Wellness""]",Medium,"[""Nature"", ""Photography""]",2-3 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Architecture Tours"", ""Shopping""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours""]",High,"[""Cultural"", ""Food""]",4-6 days
"Bavaria, Germany","[""Castle Tours"", ""Beer Tours"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",8-10 days
"New York, USA","[""Shopping"", ""Theater"", ""Museums"", ""Food Tours"", ""Cooking Classes""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Wyoming, USA","[""Wildlife Safari"", ""Hiking"", ""Camping"", ""Photography"", ""Cultural Tours""]",Medium,"[""Historical"", ""Educational""]",2-3 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Shopping"", ""Food Tours""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Beach""]",High,"[""Cultural"", ""Historical""]",10-14 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours"", ""Hiking"", ""Beach""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Hawaii, USA","[""Snorkeling"", ""Beach"", ""Surfing"", ""Volcano Tours"", ""Nightlife""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Paris, France","[""Food Tours"", ""Historical Tours""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Skiing"", ""Theme Parks""]",Low,"[""Urban"", ""Modern""]",4-6 days
"Tokyo, Japan","[""Food Tours"", ""Shopping"", ""Temple Visits"", ""Cultural Shows"", ""Wildlife Tours""]",High,"[""Cultural"", ""Food""]",4-6 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Shopping"", ""Cultural Shows"", ""Scuba Diving""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours"", ""Beach"", ""Surfing""]",Low,"[""Cultural"", ""Adventure""]",10-14 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Food Tours""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"New York, USA","[""Museums"", ""Theater"", ""Food Tours""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"California, USA","[""Theme Parks"", ""Beach"", ""Surfing"", ""Wine Tasting""]",High,"[""Urban"", ""Modern""]",2-3 days
"Dubai, UAE","[""Architecture Tours"", ""Water Parks""]",Low,"[""Nature"", ""Relaxation""]",6-8 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Hiking"", ""Mountain Tours""]",High,"[""Nature"", ""Photography""]",2-3 days
"Paris, France","[""Shopping"", ""Historical Tours""]",High,"[""Cultural"", ""Adventure""]",8-10 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Wine Tasting"", ""Beach""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Colorado, USA","[""Mountain Biking"", ""Hiking""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Beach""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Cultural Shows""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"New York, USA","[""Shopping"", ""Museums"", ""Food Tours"", ""Theater"", ""Skiing""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Paris, France","[""Shopping"", ""Museums"", ""Historical Tours""]",High,"[""Cultural"", ""Adventure""]",6-8 days
"Colorado, USA","[""Mountain Biking"", ""Hiking"", ""Skiing"", ""Rock Climbing"", ""Museums""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours"", ""Food Tours""]",High,"[""Urban"", ""Modern""]",10-14 days
"Bavaria, Germany","[""Hiking"", ""Historical Tours"", ""Beer Tours"", ""Castle Tours""]",High,"[""Adventure"", ""Sports""]",4-6 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Beach"", ""Surfing""]",Low,"[""Adventure"", ""Beach""]",4-6 days
"Wyoming, USA","[""Camping"", ""Hiking"", ""Photography""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"British Columbia, Canada","[""Kayaking"", ""Wildlife Tours""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Skiing"", ""Hiking""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari"", ""Camping""]",High,"[""Cultural"", ""Adventure""]",6-8 days
"Bangkok, Thailand","[""Shopping"", ""Temple Visits"", ""Food Tours"", ""Cultural Shows""]",High,"[""Adventure"", ""Nature""]",10-14 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Surfing"", ""Volcano Tours"", ""Cultural Shows""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Shopping"", ""Food Tours""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Art Museums"", ""Wine Tasting"", ""Architecture Tours""]",High,"[""Nature"", ""Photography""]",2-3 days
"New York, USA","[""Shopping"", ""Food Tours"", ""Museums"", ""Theater""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"Bangkok, Thailand","[""Shopping"", ""Temple Visits"", ""Food Tours""]",High,"[""Adventure"", ""Beach""]",6-8 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks"", ""Shopping"", ""Architecture Tours""]",High,"[""Adventure"", ""Sports""]",4-6 days
"New York, USA","[""Theater"", ""Museums"", ""Food Tours"", ""Shopping""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Queensland, Australia","[""Beach"", ""Hiking"", ""Wildlife Tours""]",High,"[""Cultural"", ""Food""]",8-10 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows"", ""Temple Visits"", ""Shopping"", ""Wildlife Safari""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling"", ""Beach""]",High,"[""Cultural"", ""Food""]",6-8 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Museums"", ""Food Tours""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"British Columbia, Canada","[""Wildlife Tours"", ""Skiing"", ""Hiking"", ""Kayaking""]",High,"[""Urban"", ""Shopping""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours"", ""Wine Tasting"", ""Food Tours""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Food Tours"", ""Wine Tasting""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Bavaria, Germany","[""Hiking"", ""Castle Tours"", ""Historical Tours"", ""Beer Tours""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Food Tours""]",Low,"[""Beach"", ""Relaxation""]",6-8 days
"Bangkok, Thailand","[""Shopping"", ""Food Tours""]",High,"[""Adventure"", ""Sports""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Shopping""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows"", ""Shopping"", ""Temple Visits""]",Medium,"[""Nature"", ""Relaxation""]",6-8 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater"", ""Museums"", ""Hiking""]",Medium,"[""Cultural"", ""Food""]",6-8 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Photography"", ""Hiking""]",Low,"[""Urban"", ""Modern""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking""]",High,"[""Adventure"", ""Beach""]",6-8 days
"British Columbia, Canada","[""Skiing"", ""Hiking"", ""Wildlife Tours"", ""Kayaking""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"Colorado, USA","[""Hiking"", ""Mountain Biking""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Wyoming, USA","[""Camping"", ""Hiking"", ""Photography"", ""Wildlife Safari"", ""Kayaking""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Wyoming, USA","[""Hiking"", ""Photography""]",High,"[""Urban"", ""Modern""]",8-10 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Food Tours"", ""Shopping""]",High,"[""Cultural"", ""Food""]",2-3 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Beach""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours"", ""Art Museums"", ""Food Tours""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Paris, France","[""Museums"", ""Shopping"", ""Food Tours""]",High,"[""Urban"", ""Modern""]",2-3 days
"California, USA","[""Theme Parks"", ""Surfing""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Bangkok, Thailand","[""Temple Visits"", ""Cultural Shows"", ""Shopping"", ""Food Tours"", ""Museums""]",High,"[""Urban"", ""Shopping""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Hiking"", ""Skiing""]",Low,"[""Nature"", ""Relaxation""]",4-6 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Hiking"", ""Beer Tours"", ""Beach""]",Medium,"[""Cultural"", ""Historical""]",8-10 days
"Dubai, UAE","[""Shopping"", ""Water Parks""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours"", ""Surfing"", ""Beach"", ""Historical Tours""]",High,"[""Adventure"", ""Nature""]",4-6 days
"Wyoming, USA","[""Wildlife Safari"", ""Camping""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Tokyo, Japan","[""Food Tours"", ""Temple Visits"", ""Cultural Shows""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Hawaii, USA","[""Surfing"", ""Volcano Tours"", ""Snorkeling"", ""Beach"", ""Camping""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"California, USA","[""Wine Tasting"", ""Theme Parks"", ""Beach"", ""Surfing"", ""Local Festivals""]",Medium,"[""Historical"", ""Educational""]",2-3 days
"Bali, Indonesia","[""Surfing"", ""Beach""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Beach"", ""Wine Tasting""]",High,"[""Adventure"", ""Sports""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Hiking"", ""Kayaking"", ""Skiing""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Hiking"", ""Mountain Tours"", ""Desert Safari""]",High,"[""Adventure"", ""Beach""]",10-14 days
"New York, USA","[""Food Tours"", ""Theater"", ""Shopping"", ""Museums""]",Medium,"[""Nature"", ""Photography""]",10-14 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Shopping""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Shopping"", ""Architecture Tours"", ""Water Parks"", ""Cooking Classes""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"Wyoming, USA","[""Photography"", ""Camping"", ""Wildlife Safari""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"British Columbia, Canada","[""Kayaking"", ""Hiking"", ""Wildlife Tours"", ""Skiing"", ""Cooking Classes""]",Medium,"[""Cultural"", ""Food""]",2-3 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Beach""]",Medium,"[""Cultural"", ""Food""]",2-3 days
"Bavaria, Germany","[""Historical Tours"", ""Hiking"", ""Beer Tours""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Hiking"", ""Photography"", ""Architecture Tours""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Bangkok, Thailand","[""Shopping"", ""Food Tours"", ""Temple Visits"", ""Cultural Shows"", ""Photography""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Hawaii, USA","[""Snorkeling"", ""Surfing""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours""]",High,"[""Adventure"", ""Sports""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Beach"", ""Hiking"", ""Snorkeling""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"British Columbia, Canada","[""Hiking"", ""Wildlife Tours"", ""Skiing"", ""Kayaking"", ""Zip Lining""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Colorado, USA","[""Hiking"", ""Skiing"", ""Rock Climbing"", ""Mountain Biking"", ""Temple Visits""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"British Columbia, Canada","[""Kayaking"", ""Hiking"", ""Wildlife Tours"", ""Skiing"", ""Scuba Diving""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Bavaria, Germany","[""Hiking"", ""Historical Tours""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Hiking"", ""Photography""]",High,"[""Cultural"", ""Adventure""]",4-6 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Hiking"", ""Photography"", ""Architecture Tours""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks""]",Medium,"[""Urban"", ""Modern""]",8-10 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Food Tours""]",Medium,"[""Nature"", ""Photography""]",10-14 days
"New York, USA","[""Theater"", ""Food Tours"", ""Museums""]",High,"[""Nature"", ""Relaxation""]",8-10 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Temple Visits"", ""Shopping"", ""Wildlife Tours""]",High,"[""Cultural"", ""Adventure""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Food Tours"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Shopping"", ""Water Parks""]",High,"[""Urban"", ""Modern""]",6-8 days
"California, USA","[""Surfing"", ""Wine Tasting"", ""Theme Parks"", ""Beach"", ""Mountain Tours""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Bali, Indonesia","[""Cultural Tours"", ""Surfing""]",High,"[""Cultural"", ""Historical""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Castle Tours""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks"", ""Shopping"", ""Architecture Tours"", ""Zip Lining""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Surfing"", ""Beach"", ""Snorkeling""]",High,"[""Adventure"", ""Sports""]",4-6 days
"New York, USA","[""Museums"", ""Theater"", ""Shopping"", ""Food Tours""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Wyoming, USA","[""Photography"", ""Wildlife Safari"", ""Camping""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Art Museums""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Bavaria, Germany","[""Hiking"", ""Historical Tours"", ""Beer Tours"", ""Castle Tours"", ""River Rafting""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"New York, USA","[""Shopping"", ""Theater""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"Dubai, UAE","[""Water Parks"", ""Shopping""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting"", ""Historical Tours"", ""Food Tours""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"New York, USA","[""Shopping"", ""Museums"", ""Food Tours"", ""Theater"", ""Desert Safari""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Queensland, Australia","[""Snorkeling"", ""Beach""]",Low,"[""Nature"", ""Relaxation""]",10-14 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Food Tours"", ""Shopping"", ""Temple Visits""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"Bavaria, Germany","[""Hiking"", ""Castle Tours"", ""Beer Tours"", ""Historical Tours""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking"", ""Historical Tours"", ""Castle Tours"", ""Cultural Tours""]",Medium,"[""Urban"", ""Shopping""]",8-10 days
"Bavaria, Germany","[""Historical Tours"", ""Beer Tours"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Tuscany, Italy","[""Historical Tours"", ""Wine Tasting"", ""Food Tours""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Art Museums"", ""Wine Tasting"", ""Scuba Diving""]",High,"[""Adventure"", ""Beach""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Skiing"", ""Hiking""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"Dubai, UAE","[""Architecture Tours"", ""Shopping"", ""Desert Safari""]",Low,"[""Urban"", ""Modern""]",2-3 days
"California, USA","[""Surfing"", ""Beach"", ""Wine Tasting"", ""Theme Parks""]",High,"[""Urban"", ""Shopping""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari""]",High,"[""Cultural"", ""Food""]",4-6 days
"Queensland, Australia","[""Snorkeling"", ""Beach"", ""Hiking""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Skiing"", ""Hiking"", ""Kayaking""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Food Tours""]",Medium,"[""Nature"", ""Photography""]",6-8 days
"Queensland, Australia","[""Snorkeling"", ""Wildlife Tours"", ""Beach"", ""Hiking"", ""Spa & Wellness""]",Medium,"[""Historical"", ""Educational""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums"", ""Historical Tours"", ""Wine Tasting"", ""River Rafting""]",Medium,"[""Cultural"", ""Historical""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Food Tours"", ""Wine Tasting""]",High,"[""Adventure"", ""Beach""]",6-8 days
"California, USA","[""Theme Parks"", ""Beach"", ""Wine Tasting"", ""Surfing""]",Low,"[""Urban"", ""Modern""]",10-14 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Shopping""]",Medium,"[""Nature"", ""Relaxation""]",6-8 days
"Bavaria, Germany","[""Castle Tours"", ""Beer Tours"", ""Hiking""]",High,"[""Urban"", ""Shopping""]",6-8 days
"Bavaria, Germany","[""Hiking"", ""Beer Tours"", ""Historical Tours""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"California, USA","[""Beach"", ""Theme Parks"", ""Surfing"", ""Wine Tasting""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Surfing"", ""Theme Parks""]",Low,"[""Nature"", ""Photography""]",4-6 days
"Dubai, UAE","[""Shopping"", ""Architecture Tours"", ""Water Parks"", ""Desert Safari"", ""Spa & Wellness""]",High,"[""Adventure"", ""Sports""]",8-10 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Skiing"", ""Photography""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Bali, Indonesia","[""Surfing"", ""Beach"", ""Temple Visits""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Beach"", ""Hiking"", ""Snorkeling""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"California, USA","[""Theme Parks"", ""Beach"", ""Surfing""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Hawaii, USA","[""Surfing"", ""Snorkeling"", ""Beach"", ""Volcano Tours"", ""Mountain Tours""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography"", ""Skiing"", ""Hiking""]",High,"[""Nature"", ""Photography""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Shopping"", ""Food Tours"", ""Temple Visits""]",High,"[""Adventure"", ""Sports""]",10-14 days
"New York, USA","[""Museums"", ""Shopping"", ""Food Tours"", ""Theater""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Colorado, USA","[""Skiing"", ""Hiking"", ""Mountain Biking"", ""Rock Climbing"", ""Cooking Classes""]",Low,"[""Beach"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Hiking"", ""Wildlife Tours"", ""Beach"", ""Snorkeling"", ""Photography""]",Medium,"[""Adventure"", ""Beach""]",6-8 days
"Tuscany, Italy","[""Wine Tasting"", ""Art Museums"", ""Historical Tours""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours"", ""Wine Tasting""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours"", ""Photography"", ""Skiing"", ""Cultural Tours""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Temple Visits"", ""Surfing"", ""River Rafting""]",High,"[""Cultural"", ""Food""]",8-10 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Skiing"", ""Photography"", ""Snorkeling""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Hiking"", ""Skiing""]",High,"[""Urban"", ""Modern""]",2-3 days
"Tokyo, Japan","[""Food Tours"", ""Temple Visits""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Wyoming, USA","[""Photography"", ""Wildlife Safari"", ""Hiking"", ""Camping"", ""Theme Parks""]",High,"[""Nature"", ""Photography""]",4-6 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"Hawaii, USA","[""Snorkeling"", ""Surfing"", ""Beach""]",Low,"[""Beach"", ""Relaxation""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling"", ""Beach""]",High,"[""Historical"", ""Educational""]",10-14 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography"", ""Skiing"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",4-6 days
